;"(deg C) Mean Temperature (ERA5 LAND DAILY) at 29.9860E,40.1448N, 1994-01-01 to 2023-01-01"
"1994-12-22";2,2298
"1994-12-23";2,6729
"1994-12-24";2,6526
"1994-12-25";4,1246
"1994-12-26";4,2735
"1994-12-27";3,2999
"1994-12-28";4,1653
"1994-12-29";4,7568
"1994-12-30";2,7128
"1994-12-31";5,8557
"1995-01-01";11,5371
"1995-01-02";13,0149
"1995-01-03";8,7361
"1995-01-04";7,5882
"1995-01-05";5,8052
"1995-01-06";5,2065
"1995-01-07";4,6258
"1995-01-08";3,4029
"1995-01-09";4,7499
"1995-01-10";3,1495
"1995-01-11";3,0864
"1995-01-12";3,7685
"1995-01-13";4,3417
"1995-01-14";4,5408
"1995-01-15";2,5133
"1995-01-16";-1,6551
"1995-01-17";-2,7568
"1995-01-18";-3,0083
"1995-01-19";-1,3468
"1995-01-20";-0,3926
"1995-01-21";-1,4941
"1995-01-22";-0,9367
"1995-01-23";-1,1986
"1995-01-24";2,3867
"1995-01-25";2,725
"1995-01-26";1,7035
"1995-01-27";5,4612
"1995-01-28";1,6156
"1995-01-29";-0,9429
"1995-01-30";1,0282
"1995-01-31";3,9115
"1995-02-01";4,0088
"1995-02-02";1,6359
"1995-02-03";1,3582
"1995-02-04";-1,1455
"1995-02-05";-1,5835
"1995-02-06";-1,7536
"1995-02-07";-1,1396
"1995-02-08";0,9896
"1995-02-09";4,954
"1995-02-10";7,9137
"1995-02-11";7,1259
"1995-02-12";7,0357
"1995-02-13";6,5312
"1995-02-14";5,908
"1995-02-15";4,3298
"1995-02-16";3,6587
"1995-02-17";4,9399
"1995-02-18";5,2905
"1995-02-19";7,4397
"1995-02-20";4,2233
"1995-02-21";3,24
"1995-02-22";2,9655
"1995-02-23";4,0672
"1995-02-24";5,9585
"1995-02-25";7,1668
"1995-02-26";7,8244
"1995-02-27";8,7669
"1995-02-28";7,9616
"1995-03-01";4,8274
"1995-03-02";7,1359
"1995-03-03";8,4856
"1995-03-04";9,3696
"1995-03-05";9,8172
"1995-03-06";9,6409
"1995-03-07";7,5231
"1995-03-08";6,3439
"1995-03-09";6,1612
"1995-03-10";5,7227
"1995-03-11";3,3036
"1995-03-12";2,9029
"1995-03-13";2,7955
"1995-03-14";2,3352
"1995-03-15";6,0977
"1995-03-16";2,947
"1995-03-17";4,9786
"1995-03-18";6,2911
"1995-03-19";7,3774
"1995-03-20";9,7375
"1995-03-21";8,743
"1995-03-22";2,4639
"1995-03-23";1,6385
"1995-03-24";0,0592
"1995-03-25";-0,5194
"1995-03-26";0,8111
"1995-03-27";6,8428
"1995-03-28";11,2434
"1995-03-29";8,171
"1995-03-30";8,3516
"1995-03-31";7,7566
"1995-04-01";1,2509
"1995-04-02";0,7178
"1995-04-03";3,3067
"1995-04-04";7,8143
"1995-04-05";11,1637
"1995-04-06";10,4395
"1995-04-07";11,3806
"1995-04-08";10,0155
"1995-04-09";10,6696
"1995-04-10";1,772
"1995-04-11";2,0369
"1995-04-12";5,3527
"1995-04-13";6,5322
"1995-04-14";6,0251
"1995-04-15";7,318
"1995-04-16";9,1574
"1995-04-17";10,1779
"1995-04-18";6,5454
"1995-04-19";7,4321
"1995-04-20";8,9951
"1995-04-21";11,1747
"1995-04-22";12,721
"1995-04-23";12,7001
"1995-04-24";11,8675
"1995-04-25";13,412
"1995-04-26";15,6414
"1995-04-27";14,4624
"1995-04-28";13,0369
"1995-04-29";12,9875
"1995-04-30";12,203
"1995-05-01";10,2913
"1995-05-02";9,4135
"1995-05-03";8,3212
"1995-05-04";6,3333
"1995-05-05";6,549
"1995-05-06";7,6903
"1995-05-07";9,2761
"1995-05-08";13,1227
"1995-05-09";14,4431
"1995-05-10";15,5379
"1995-05-11";16,4828
"1995-05-12";16,9057
"1995-05-13";20,6178
"1995-05-14";20,9682
"1995-05-15";14,4475
"1995-05-16";11,1708
"1995-05-17";12,0027
"1995-05-18";13,9977
"1995-05-19";16,5971
"1995-05-20";16,7091
"1995-05-21";17,9135
"1995-05-22";20,976
"1995-05-23";19,2115
"1995-05-24";16,1657
"1995-05-25";16,6719
"1995-05-26";16,4211
"1995-05-27";16,6592
"1995-05-28";17,3315
"1995-05-29";17,8842
"1995-05-30";18,6787
"1995-05-31";19,8271
"1995-06-01";19,9399
"1995-06-02";21,5217
"1995-06-03";20,8108
"1995-06-04";19,828
"1995-06-05";19,2162
"1995-06-06";19,1924
"1995-06-07";20,0558
"1995-06-08";18,2208
"1995-06-09";16,1364
"1995-06-10";16,7753
"1995-06-11";18,2654
"1995-06-12";20,0518
"1995-06-13";21,1274
"1995-06-14";23,0853
"1995-06-15";24,2018
"1995-06-16";23,6136
"1995-06-17";22,6313
"1995-06-18";22,5245
"1995-06-19";19,2811
"1995-06-20";17,0316
"1995-06-21";18,0141
"1995-06-22";20,3782
"1995-06-23";22,6373
"1995-06-24";22,9707
"1995-06-25";22,401
"1995-06-26";23,5368
"1995-06-27";20,5238
"1995-06-28";16,9115
"1995-06-29";17,6307
"1995-06-30";19,3214
"1995-07-01";18,8974
"1995-07-02";18,2272
"1995-07-03";19,1028
"1995-07-04";20,97
"1995-07-05";21,8958
"1995-07-06";21,9116
"1995-07-07";20,4714
"1995-07-08";18,9568
"1995-07-09";17,2132
"1995-07-10";16,9637
"1995-07-11";18,0845
"1995-07-12";18,6351
"1995-07-13";19,1353
"1995-07-14";18,6195
"1995-07-15";20,0024
"1995-07-16";19,9755
"1995-07-17";19,7527
"1995-07-18";20,8972
"1995-07-19";20,3479
"1995-07-20";19,5185
"1995-07-21";19,2024
"1995-07-22";18,7397
"1995-07-23";18,7176
"1995-07-24";18,8601
"1995-07-25";18,6113
"1995-07-26";20,1905
"1995-07-27";20,0021
"1995-07-28";18,5201
"1995-07-29";18,9973
"1995-07-30";19,238
"1995-07-31";20,3403
"1995-08-01";21,2804
"1995-08-02";21,2955
"1995-08-03";21,1232
"1995-08-04";20,173
"1995-08-05";20,8425
"1995-08-06";20,3205
"1995-08-07";19,6795
"1995-08-08";20,1245
"1995-08-09";19,5533
"1995-08-10";19,4326
"1995-08-11";17,8125
"1995-08-12";17,2689
"1995-08-13";17,3136
"1995-08-14";20,0412
"1995-08-15";20,1708
"1995-08-16";19,8829
"1995-08-17";20,1101
"1995-08-18";20,3555
"1995-08-19";21,7175
"1995-08-20";22,2082
"1995-08-21";19,6398
"1995-08-22";19,1164
"1995-08-23";18,7639
"1995-08-24";19,718
"1995-08-25";19,6589
"1995-08-26";22,9652
"1995-08-27";23,0227
"1995-08-28";21,2275
"1995-08-29";23,2479
"1995-08-30";18,6083
"1995-08-31";18,1981
"1995-09-01";20,088
"1995-09-02";17,9625
"1995-09-03";17,3823
"1995-09-04";17,3991
"1995-09-05";18,8676
"1995-09-06";22,5022
"1995-09-07";18,6959
"1995-09-08";17,6298
"1995-09-09";18,8068
"1995-09-10";16,9945
"1995-09-11";17,1294
"1995-09-12";18,1722
"1995-09-13";19,9266
"1995-09-14";20,9794
"1995-09-15";21,9615
"1995-09-16";19,8348
"1995-09-17";18,725
"1995-09-18";17,085
"1995-09-19";13,0805
"1995-09-20";14,0597
"1995-09-21";17,1598
"1995-09-22";18,6224
"1995-09-23";15,856
"1995-09-24";11,6114
"1995-09-25";13,0091
"1995-09-26";15,0717
"1995-09-27";15,3757
"1995-09-28";15,2054
"1995-09-29";17,9315
"1995-09-30";12,5633
"1995-10-01";11,4641
"1995-10-02";8,8247
"1995-10-03";8,7843
"1995-10-04";9,7023
"1995-10-05";10,8336
"1995-10-06";11,5304
"1995-10-07";10,8291
"1995-10-08";10,2078
"1995-10-09";11,6426
"1995-10-10";11,2148
"1995-10-11";11,7129
"1995-10-12";12,3595
"1995-10-13";13,21
"1995-10-14";14,5528
"1995-10-15";13,353
"1995-10-16";12,6111
"1995-10-17";11,0311
"1995-10-18";10,0492
"1995-10-19";10,0433
"1995-10-20";10,2262
"1995-10-21";11,0128
"1995-10-22";9,8569
"1995-10-23";8,4804
"1995-10-24";8,9854
"1995-10-25";9,7595
"1995-10-26";9,832
"1995-10-27";10,3275
"1995-10-28";9,9763
"1995-10-29";7,8328
"1995-10-30";7,3805
"1995-10-31";8,3782
"1995-11-01";8,7171
"1995-11-02";8,8861
"1995-11-03";11,0299
"1995-11-04";13,3229
"1995-11-05";13,3018
"1995-11-06";7,3814
"1995-11-07";1,2026
"1995-11-08";-1,1905
"1995-11-09";-2,7821
"1995-11-10";-2,2223
"1995-11-11";-1,846
"1995-11-12";0,121
"1995-11-13";3,5894
"1995-11-14";5,1455
"1995-11-15";9,0329
"1995-11-16";9,4686
"1995-11-17";8,2114
"1995-11-18";11,324
"1995-11-19";5,3343
"1995-11-20";2,1615
"1995-11-21";1,883
"1995-11-22";-0,0989
"1995-11-23";-2,94
"1995-11-24";-5,1442
"1995-11-25";-4,6256
"1995-11-26";-4,7413
"1995-11-27";-3,0495
"1995-11-28";-1,7365
"1995-11-29";0,5834
"1995-11-30";4,8903
"1995-12-01";5,0124
"1995-12-02";3,2201
"1995-12-03";2,3597
"1995-12-04";2,2807
"1995-12-05";4,1122
"1995-12-06";4,781
"1995-12-07";3,3896
"1995-12-08";-0,3158
"1995-12-09";-0,6661
"1995-12-10";0,3575
"1995-12-11";0,5868
"1995-12-12";1,0253
"1995-12-13";1,0196
"1995-12-14";-0,3203
"1995-12-15";1,903
"1995-12-16";1,4232
"1995-12-17";-0,9566
"1995-12-18";-0,8515
"1995-12-19";2,1724
"1995-12-20";6,3603
"1995-12-21";5,9521
"1995-12-22";1,0759
"1995-12-23";2,8099
"1995-12-24";7,7612
"1995-12-25";10,3429
"1995-12-26";11,4842
"1995-12-27";11,7614
"1995-12-28";10,822
"1995-12-29";8,9957
"1995-12-30";7,344
"1995-12-31";3,5277
"1996-01-01";5,9145
"1996-01-02";8,4169
"1996-01-03";6,9142
"1996-01-04";4,0002
"1996-01-05";1,203
"1996-01-06";-0,7474
"1996-01-07";-0,4464
"1996-01-08";-0,6715
"1996-01-09";1,275
"1996-01-10";1,457
"1996-01-11";0,3241
"1996-01-12";-0,3239
"1996-01-13";0,5592
"1996-01-14";0,0398
"1996-01-15";-0,4185
"1996-01-16";-1,3335
"1996-01-17";-1,4087
"1996-01-18";-2,4453
"1996-01-19";-5,2377
"1996-01-20";-3,6838
"1996-01-21";-1,8406
"1996-01-22";-3,2585
"1996-01-23";-4,2795
"1996-01-24";-6,475
"1996-01-25";-3,6974
"1996-01-26";-0,6094
"1996-01-27";1,3528
"1996-01-28";2,554
"1996-01-29";1,7328
"1996-01-30";2,3337
"1996-01-31";-0,7916
"1996-02-01";-3,7234
"1996-02-02";-3,9534
"1996-02-03";-2,6494
"1996-02-04";0,1202
"1996-02-05";2,2661
"1996-02-06";5,6091
"1996-02-07";5,4649
"1996-02-08";7,1588
"1996-02-09";4,2324
"1996-02-10";-0,7949
"1996-02-11";-1,0265
"1996-02-12";2,255
"1996-02-13";5,4564
"1996-02-14";7,0291
"1996-02-15";5,3865
"1996-02-16";2,9551
"1996-02-17";4,586
"1996-02-18";4,8439
"1996-02-19";6,1204
"1996-02-20";6,072
"1996-02-21";8,1849
"1996-02-22";9,2116
"1996-02-23";9,9632
"1996-02-24";4,6294
"1996-02-25";2,8759
"1996-02-26";0,219
"1996-02-27";-0,4505
"1996-02-28";-0,5528
"1996-02-29";-0,1897
"1996-03-01";-1,2287
"1996-03-02";-1,0943
"1996-03-03";-1,9152
"1996-03-04";-2,0107
"1996-03-05";-1,9268
"1996-03-06";-2,9129
"1996-03-07";-2,3239
"1996-03-08";-1,066
"1996-03-09";0,0319
"1996-03-10";-0,7688
"1996-03-11";-1,9186
"1996-03-12";-0,8888
"1996-03-13";4,7713
"1996-03-14";6,0473
"1996-03-15";6,8454
"1996-03-16";7,8788
"1996-03-17";3,2038
"1996-03-18";1,0134
"1996-03-19";0,5845
"1996-03-20";1,3035
"1996-03-21";2,6513
"1996-03-22";1,3935
"1996-03-23";0,558
"1996-03-24";0,7778
"1996-03-25";1,4506
"1996-03-26";2,1764
"1996-03-27";4,9521
"1996-03-28";9,631
"1996-03-29";8,7007
"1996-03-30";7,7476
"1996-03-31";9,3102
"1996-04-01";7,054
"1996-04-02";8,7654
"1996-04-03";11,1583
"1996-04-04";12,6557
"1996-04-05";9,1246
"1996-04-06";5,9816
"1996-04-07";4,5176
"1996-04-08";4,0321
"1996-04-09";4,022
"1996-04-10";6,317
"1996-04-11";7,0727
"1996-04-12";4,9838
"1996-04-13";4,3395
"1996-04-14";7,021
"1996-04-15";9,8862
"1996-04-16";7,4622
"1996-04-17";4,4657
"1996-04-18";2,9144
"1996-04-19";4,6855
"1996-04-20";5,3997
"1996-04-21";4,9199
"1996-04-22";4,1875
"1996-04-23";6,06
"1996-04-24";6,8333
"1996-04-25";9,7167
"1996-04-26";12,6453
"1996-04-27";14,6058
"1996-04-28";15,007
"1996-04-29";13,8046
"1996-04-30";14,6299
"1996-05-01";16,3878
"1996-05-02";14,9679
"1996-05-03";15,127
"1996-05-04";16,195
"1996-05-05";17,5815
"1996-05-06";18,2315
"1996-05-07";17,7753
"1996-05-08";18,4676
"1996-05-09";18,1924
"1996-05-10";17,5177
"1996-05-11";19,2704
"1996-05-12";19,2908
"1996-05-13";18,0168
"1996-05-14";16,4163
"1996-05-15";13,3938
"1996-05-16";14,6382
"1996-05-17";15,2621
"1996-05-18";16,2618
"1996-05-19";17,8349
"1996-05-20";19,4804
"1996-05-21";20,3765
"1996-05-22";20,8009
"1996-05-23";17,2415
"1996-05-24";14,9675
"1996-05-25";14,8208
"1996-05-26";14,8092
"1996-05-27";15,5331
"1996-05-28";17,6731
"1996-05-29";16,6193
"1996-05-30";13,7238
"1996-05-31";14,9145
"1996-06-01";15,4898
"1996-06-02";13,2696
"1996-06-03";13,9827
"1996-06-04";15,2714
"1996-06-05";16,5614
"1996-06-06";17,0481
"1996-06-07";16,2909
"1996-06-08";16,6473
"1996-06-09";18,694
"1996-06-10";19,1509
"1996-06-11";18,5278
"1996-06-12";17,9037
"1996-06-13";19,1311
"1996-06-14";19,524
"1996-06-15";15,4712
"1996-06-16";13,7406
"1996-06-17";13,913
"1996-06-18";14,6337
"1996-06-19";15,9475
"1996-06-20";15,9662
"1996-06-21";17,8745
"1996-06-22";20,2666
"1996-06-23";22,2021
"1996-06-24";22,7193
"1996-06-25";22,1608
"1996-06-26";22,797
"1996-06-27";23,7557
"1996-06-28";16,9347
"1996-06-29";17,3171
"1996-06-30";20,1483
"1996-07-01";21,4752
"1996-07-02";23,0397
"1996-07-03";25,8604
"1996-07-04";24,7626
"1996-07-05";22,3666
"1996-07-06";21,8076
"1996-07-07";22,4673
"1996-07-08";24,4763
"1996-07-09";26,6033
"1996-07-10";24,9366
"1996-07-11";19,6845
"1996-07-12";18,9324
"1996-07-13";20,5232
"1996-07-14";22,8263
"1996-07-15";23,2096
"1996-07-16";22,291
"1996-07-17";20,5565
"1996-07-18";18,3396
"1996-07-19";17,9939
"1996-07-20";18,1264
"1996-07-21";18,1968
"1996-07-22";18,2975
"1996-07-23";16,5534
"1996-07-24";17,2984
"1996-07-25";18,7593
"1996-07-26";20,0791
"1996-07-27";19,301
"1996-07-28";19,3395
"1996-07-29";19,2694
"1996-07-30";20,4954
"1996-07-31";22,2811
"1996-08-01";23,3641
"1996-08-02";22,8328
"1996-08-03";21,7951
"1996-08-04";20,6716
"1996-08-05";22,1563
"1996-08-06";21,9591
"1996-08-07";21,7474
"1996-08-08";22,4316
"1996-08-09";20,078
"1996-08-10";17,2922
"1996-08-11";18,9631
"1996-08-12";20,7388
"1996-08-13";20,7843
"1996-08-14";21,3317
"1996-08-15";20,5869
"1996-08-16";21,7477
"1996-08-17";21,4877
"1996-08-18";19,2381
"1996-08-19";19,4032
"1996-08-20";17,6107
"1996-08-21";18,1018
"1996-08-22";19,3142
"1996-08-23";21,5073
"1996-08-24";20,7169
"1996-08-25";19,5353
"1996-08-26";19,7027
"1996-08-27";19,3007
"1996-08-28";19,228
"1996-08-29";19,8362
"1996-08-30";20,1272
"1996-08-31";19,7749
"1996-09-01";20,2528
"1996-09-02";19,6982
"1996-09-03";20,2769
"1996-09-04";19,7714
"1996-09-05";20,3196
"1996-09-06";16,5013
"1996-09-07";12,9236
"1996-09-08";9,8946
"1996-09-09";12,1549
"1996-09-10";14,512
"1996-09-11";14,9144
"1996-09-12";15,2342
"1996-09-13";20,7786
"1996-09-14";22,2129
"1996-09-15";14,4108
"1996-09-16";13,1565
"1996-09-17";13,4931
"1996-09-18";14,5746
"1996-09-19";14,3306
"1996-09-20";16,3305
"1996-09-21";15,2928
"1996-09-22";15,7783
"1996-09-23";19,9352
"1996-09-24";17,0411
"1996-09-25";16,0428
"1996-09-26";15,9069
"1996-09-27";17,0159
"1996-09-28";13,5854
"1996-09-29";11,3107
"1996-09-30";11,8569
"1996-10-01";14,3181
"1996-10-02";13,8633
"1996-10-03";15,0804
"1996-10-04";14,0888
"1996-10-05";15,3128
"1996-10-06";16,2099
"1996-10-07";14,5271
"1996-10-08";12,7065
"1996-10-09";14,0183
"1996-10-10";14,273
"1996-10-11";11,5573
"1996-10-12";10,0128
"1996-10-13";9,8878
"1996-10-14";10,7793
"1996-10-15";10,7774
"1996-10-16";10,9649
"1996-10-17";13,5361
"1996-10-18";13,9003
"1996-10-19";14,1796
"1996-10-20";12,6494
"1996-10-21";11,6682
"1996-10-22";8,5829
"1996-10-23";6,6944
"1996-10-24";6,2591
"1996-10-25";6,0684
"1996-10-26";5,9804
"1996-10-27";5,5848
"1996-10-28";4,856
"1996-10-29";4,8155
"1996-10-30";5,9093
"1996-10-31";8,3567
"1996-11-01";8,9204
"1996-11-02";8,474
"1996-11-03";7,5464
"1996-11-04";7,4174
"1996-11-05";7,9657
"1996-11-06";8,5683
"1996-11-07";8,307
"1996-11-08";9,1097
"1996-11-09";9,6359
"1996-11-10";7,8371
"1996-11-11";7,0442
"1996-11-12";7,0216
"1996-11-13";7,098
"1996-11-14";6,7807
"1996-11-15";6,7905
"1996-11-16";5,6654
"1996-11-17";4,6573
"1996-11-18";6,8163
"1996-11-19";9,1764
"1996-11-20";10,2033
"1996-11-21";11,2017
"1996-11-22";8,7704
"1996-11-23";6,5341
"1996-11-24";8,433
"1996-11-25";9,6266
"1996-11-26";7,0823
"1996-11-27";10,2619
"1996-11-28";7,8305
"1996-11-29";6,588
"1996-11-30";9,0061
"1996-12-01";8,7243
"1996-12-02";10,7165
"1996-12-03";9,3668
"1996-12-04";8,5439
